IEEE Transactions on Smart Grid,2059
"Innovative Smart Grid Technologies - Asia (ISGT Asia), 2012 IEEE",277
"Innovative Smart Grid Technologies Conference Europe (ISGT-Europe), 2017 IEEE PES",217
"Innovative Smart Grid Technologies - Asia (ISGT ASIA), 2015 IEEE",194
"Innovative Smart Grid Technologies Conference Europe (ISGT-Europe), 2014 IEEE PES",193
"Innovative Smart Grid Technologies (ISGT Europe), 2012 3rd IEEE PES International Conference and Exhibition on",170
"Innovative Smart Grid Technologies (ISGT), 2012 IEEE PES",160
"Innovative Smart Grid Technologies (ISGT Europe), 2011 2nd IEEE PES International Conference and Exhibition on",143
IEEE Transactions on Industrial Informatics,142
IEEE Transactions on Power Systems,137
"Innovative Smart Grid Technologies (ISGT), 2013 IEEE PES",135
"Innovative Smart Grid Technologies - Asia (ISGT-Asia), 2016 IEEE",130
"Innovative Smart Grid Technologies Latin America (ISGT LATAM), 2015 IEEE PES",128
"PES Innovative Smart Grid Technologies Conference Europe (ISGT-Europe), 2016 IEEE",108
"Innovative Smart Grid Technologies - Asia (ISGT Asia), 2014 IEEE",104
"Smart Grid Communications (SmartGridComm), 2014 IEEE International Conference on",103
"Innovative Smart Grid Technologies Conference (ISGT), 2015 IEEE Power & Energy Society",101
"Power & Energy Society Innovative Smart Grid Technologies Conference (ISGT), 2017 IEEE",95
"Smart Grid Communications (SmartGridComm), 2013 IEEE International Conference on",95
"Innovative Smart Grid Technologies Latin America (ISGT LA), 2013 IEEE PES Conference On",91
"Smart Grid Communications (SmartGridComm), 2012 IEEE Third International Conference on",87
IEEE Transactions on Industrial Electronics,84
"Smart Grid Communications (SmartGridComm), 2010 First IEEE International Conference on",81
"Smart Grid Communications (SmartGridComm), 2016 IEEE International Conference on",81
IEEE Access,81
"Smart Grid Communications (SmartGridComm), 2015 IEEE International Conference on",80
"Innovative Smart Grid Technologies Europe (ISGT EUROPE), 2013 4th IEEE/PES",79
"Power and Energy Society General Meeting, 2012 IEEE",78
"Innovative Smart Grid Technologies Conference Europe (ISGT Europe), 2010 IEEE PES",78
"Smart Grid and Clean Energy Technologies (ICSGCE), 2016 International Conference on",77
"Innovative Smart Grid Technologies Conference - Latin America (ISGT Latin America), 2017 IEEE PES",76
"Power and Energy Engineering Conference (APPEEC), 2016 IEEE PES Asia-Pacific",76
"Power and Energy Society General Meeting, 2010 IEEE",73
"Power System Technology (POWERCON), 2014 International Conference on",67
"Power & Energy Society General Meeting, 2015 IEEE",67
"Power and Energy Society General Meeting, 2011 IEEE",66
"PES General Meeting | Conference & Exposition, 2014 IEEE",66
"IET Generation, Transmission & Distribution",63
"Smart Grid Communications (SmartGridComm), 2011 IEEE International Conference on",62
IEEE Systems Journal,61
IEEE Transactions on Power Delivery,60
"PowerTech, 2015 IEEE Eindhoven",59
"Innovative Smart Grid Technologies Conference (ISGT), 2016 IEEE Power & Energy Society",59
"Innovative Smart Grid Technologies Asia (ISGT), 2011 IEEE PES",59
"Smart Grid and Electrical Automation (ICSGEA), 2017 International Conference on",58
"Power and Energy Society General Meeting (PESGM), 2016",55
"Energy Internet and Energy System Integration (EI2), 2017 IEEE Conference on",53
"Intelligent Green Building and Smart Grid (IGBSG), 2014 International Conference on",52
IEEE Power and Energy Magazine,52
"Electricity Distribution (CICED), 2016 China International Conference on",50
CIRED Workshop 2016,49
IEEE Transactions on Industry Applications,48
IEEE Communications Magazine,47
"Advanced Power System Automation and Protection (APAP), 2011 International Conference on",47
"Innovative Smart Grid Technologies - Asia (ISGT Asia), 2013 IEEE",46
IEEE Transactions on Sustainable Energy,45
"Industrial Electronics Society, IECON 2013 - 39th Annual Conference of the IEEE",44
IEEE Internet of Things Journal,43
"Power and Energy Society General Meeting (PES), 2013 IEEE",43
IEEE Transactions on Dielectrics and Electrical Insulation,43
IEEE Wireless Communications,42
"Smart Grid and Smart Cities (ICSGSC), 2017 IEEE International Conference on",42
"Electric Utility Deregulation and Restructuring and Power Technologies (DRPT), 2015 5th International Conference on",42
"Electricity Distribution (CICED), 2012 China International Conference on",42
IEEE Transactions on Instrumentation and Measurement,42
IEEE Transactions on Applied Superconductivity,41
"Innovative Smart Grid Technologies (ISGT), 2010",37
"PowerTech (POWERTECH), 2013 IEEE Grenoble",37
"Energy Conference (ENERGYCON), 2016 IEEE International",36
"T&D Conference and Exposition, 2014 IEEE PES",35
"Industrial Electronics Society , IECON 2016 - 42nd Annual Conference of the IEEE",35
"Transmission and Distribution Conference and Exposition (T&D), 2012 IEEE PES",34
"Smart Grid Conference (SGC), 2014",34
"Energy Conference (ENERGYCON), 2014 IEEE International",33
"Electric Utility Deregulation and Restructuring and Power Technologies (DRPT), 2011 4th International Conference on",32
,32
"Smart Grid and Electrical Automation (ICSGEA), International Conference on",31
IEEE Transactions on Power Electronics,29
"Environment and Electrical Engineering (EEEIC), 2015 IEEE 15th International Conference on",28
"Clean Electrical Power (ICCEP), 2017 6th International Conference on",28
IEEE Journal on Selected Areas in Communications,27
"Harmonics and Quality of Power (ICHQP), 2016 17th International Conference on",27
"Smart Grid Technology, Economics and Policies (SG-TEP), 2012 International Conference on",27
"Power & Energy Society General Meeting, 2017 IEEE",27
"Advances in Power System Control, Operation and Management (APSCOM 2012), 9th IET International Conference on",26
"Power System Technology (POWERCON), 2010 International Conference on",26
"Environment and Electrical Engineering (EEEIC), 2016 IEEE 16th International Conference on",25
"Power and Energy Engineering Conference (APPEEC), 2013 IEEE PES Asia-Pacific",25
"Chinese Automation Congress (CAC), 2017",24
IEEE Sensors Journal,24
"Transportation Electrification Asia-Pacific (ITEC Asia-Pacific), 2014 IEEE Conference and Expo",24
"Smart Grid and Clean Energy Technologies (ICSGCE), 2015 International Conference on",24
IEEE Communications Surveys & Tutorials,23
"Electricity Distribution (CICED), 2010 China International Conference on",23
"Electricity Distribution (CICED), 2014 China International Conference on",23
"Power Systems Computation Conference (PSCC), 2016",23
"Transmission and Distribution Conference and Exposition, 2010 IEEE PES",22
"Electricity Distribution - Part 1, 2009. CIRED 2009. 20th International Conference and Exhibition on",22
"Power and Energy Engineering Conference (APPEEC), 2011 Asia-Pacific",22
"Power Engineering Conference (UPEC), 2014 49th International Universities",22
"Innovative Smart Grid Technologies Conference (ISGT), 2014 IEEE PES",22
"Power Electronics and Drive Systems (PEDS), 2013 IEEE 10th International Conference on",21
"Innovative Smart Grid Technologies - Middle East (ISGT Middle East), 2011 IEEE PES Conference on",21
"Control Conference (CCC), 2014 33rd Chinese",21
"Energy Conference and Exhibition (ENERGYCON), 2012 IEEE International",20
"Renewable Energy Research and Application (ICRERA), 2014 International Conference on",20
"Environment and Electrical Engineering and 2017 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe), 2017 IEEE International Conference on",20
"Energy Conversion Congress and Exposition (ECCE), 2015 IEEE",20
"Communications (ICC), 2015 IEEE International Conference on",20
"Innovative Smart Grid Technologies (ISGT), 2011 IEEE PES",20
