5546958,Hierarchical Control of Droop-Controlled AC and DC Microgrids—A General Approach Toward Standardization,1345
6011696,Smart Grid Technologies: Communication Technologies and Standards,850
5524053,Coordinated Scheduling of Residential Distributed Energy Resources to Optimize Smart Home Energy Services,359
5765461,Appliance Commitment for Household Load Scheduling,270
5979167,Sizing of Energy Storage for Microgrids,259
6184265,"History, Evolution, and Future Status of Energy Storage",241
5628267,Energy-Efficient Buildings Facilitated by Microgrid,220
6112699,Flexible Charging Optimization for Electric Vehicles Considering Distribution Grid Constraints,207
6183499,Convergence Analysis of the Incremental Cost Consensus Algorithm Under Different Communication Network Topologies in a Smart Grid,190
6502290,Distributed Optimal Power Flow for Smart Microgrids,186
6060940,Vehicle-to-Aggregator Interaction Game,182
5751206,Strategic Protection Against Data Injection Attacks on Power Grids,177
6074980,Demand Response as a Load Shaping Tool in an Intelligent Grid With Electric Vehicles,170
6218736,Hourly Coordination of Electric Vehicle Operation and Volatile Wind Power Generation in SCUC,153
5589988,Opportunities and challenges of wireless communication technologies for smart grid applications,153
5768106,The Role of Energy Storage in Development of Smart Grids,145
6145673,Modeling of Plug-in Hybrid Electric Vehicle Charging Demand in Probabilistic Power Flow Calculations,143
6377246,Reliability-Constrained Optimal Sizing of Energy Storage System in a Microgrid,135
6074981,Integrity Data Attacks in Power Market Operations,129
5668519,An Evaluation of the Water Heater Load Potential for Providing Regulation Service,123
