,65
,6
Australia,113
Austria,30
Bahrain,2
Bangladesh,6
Belgium,32
Bosnia-Herzegovina,1
Brazil,38
Bulgaria,4
Canada,113
Chile,2
China,483
Colombia,10
Croatia,16
Cyprus,6
Czech Republic,18
Denmark,22
Ecuador,21
Egypt,3
Estonia,2
Finland,10
France,42
Georgia,2
Germany,95
Ghana,1
Greece,17
Honduras,1
Hungary,6
Iceland,3
India,126
Indonesia,8
Iran,50
Iraq,1
Ireland,10
Israel,1
Italy,180
Japan,43
Jordan,2
Korea (South),2
Latvia,3
Luxembourg,1
Macedonia,2
Malaysia,48
Malta,1
Mauritius,2
Mexico,7
Monaco,3
Morocco,13
Nepal,5
Netherlands,16
New Zealand,4
Nigeria,2
Norway,5
Pakistan,6
Panama,1
Philippines,1
Poland,23
Portugal,20
Puerto Rico,1
Qatar,7
Romania,28
Russia,8
Saudi Arabia,19
Serbia,6
Singapore,25
Slovenia,33
South Africa,8
South Korea,26
Spain,14
Sri Lanka,3
Sweden,28
Switzerland,8
Taiwan,59
Thailand,69
Tunisia,10
Turkey,73
UK,119
Ukraine,3
United Arab Emirates,5
Uruguay,39
USA,629
Vietnam,5
Zambia,3
