China,Japan,30
Hong Kong,United States,30
Japan,United States,30
Denmark,United States,31
Austria,United States,33
Canada,Pakistan,34
Japan,Korea,34
Pakistan,Canada,34
Ireland,United States,35
Germany,Italy,37
India,United States,41
Germany,United States,46
China,Denmark,47
Brazil,United States,49
France,United States,50
Georgia,United States,51
United States,Iran,52
Australia,United States,53
Korea,United States,53
China,Singapore,61
Singapore,United States,61
Germany,United Kingdom,62
United Kingdom,United States,69
Canada,China,72
Austria,Germany,76
China,Hong Kong,91
Canada,United States,100
Australia,China,114
China,United Kingdom,151
United Kingdom,China,151
China,United States,522
